id,code,name,user_type_id:id,reconcile,chart_template_id:id
0105005,0105005,SOCI C/SOTTOSCRIZIONE,account.data_account_type_current_assets,TRUE,l10n_it_chart_generic
0105010,0105010,SOCI C/DECIMI RICHIAMATI,account.data_account_type_current_assets,TRUE,l10n_it_chart_generic
0305005,0305005,COSTI DI IMPIANTO,account.data_account_type_current_assets,TRUE,l10n_it_chart_generic
0305010,0305010,COSTI DI AMPLIAMENTO,account.data_account_type_current_assets,TRUE,l10n_it_chart_generic
0310005,0310005,"COSTI DI RIC.,SVIL.,PUBB. DA AMM",account.data_account_type_current_assets,TRUE,l10n_it_chart_generic
0315005,0315005,DIRITTI DI BREVETTO,account.data_account_type_current_assets,TRUE,l10n_it_chart_generic
0315010,0315010,DIRITTI DI UTIL.OPERE INGEGNO,account.data_account_type_current_assets,TRUE,l10n_it_chart_generic
0315015,0315015,LIC.ZA USO SOFTWARE TEMPO INDET.,account.data_account_type_current_assets,TRUE,l10n_it_chart_generic
0320005,0320005,"CONC.ONI, LICENZE E DIR. SIMILI",account.data_account_type_current_assets,TRUE,l10n_it_chart_generic
0320010,0320010,MARCHI DI FABBRICA E COMMERCIO,account.data_account_type_current_assets,TRUE,l10n_it_chart_generic
0320015,0320015,LIC.ZA D'USO SOFTWARE TEMPO DET.,account.data_account_type_current_assets,TRUE,l10n_it_chart_generic
0325005,0325005,AVVIAMENTO,account.data_account_type_current_assets,TRUE,l10n_it_chart_generic
0330005,0330005,IMMOB.IMMATERIALI IN CORSO,account.data_account_type_current_assets,TRUE,l10n_it_chart_generic
0330010,0330010,FOR.RI IMMOB. IMMAT.LI C/ACCONTI,account.data_account_type_current_assets,TRUE,l10n_it_chart_generic
0335005,0335005,LAVORI STRAOR. SU BENI DI TERZI,account.data_account_type_current_assets,TRUE,l10n_it_chart_generic
0335010,0335010,MANUT.STRAORDINARIE-PROFESS.,account.data_account_type_current_assets,TRUE,l10n_it_chart_generic
0335015,0335015,ALTRI COSTI AD UTIL.PLUR.DA AMM.,account.data_account_type_current_assets,TRUE,l10n_it_chart_generic
0405005,0405005,F/AMM COSTI IMPIANTO,account.data_account_type_current_liabilities,TRUE,l10n_it_chart_generic
0405010,0405010,F/AMM COSTI DI AMPLIAMENTO,account.data_account_type_current_liabilities,TRUE,l10n_it_chart_generic
0410005,0410005,"F/AMM COSTI DI RIC,SVIL,PUBB.AMM",account.data_account_type_current_liabilities,TRUE,l10n_it_chart_generic
0415005,0415005,F/AMM DIRITTI DI BREVETTO,account.data_account_type_current_liabilities,TRUE,l10n_it_chart_generic
0415010,0415010,F/AMM DIR.TI UTIL.OPERE INGEGNO,account.data_account_type_current_liabilities,TRUE,l10n_it_chart_generic
0415015,0415015,F/AMM LIC. D'USO SOF. A TEM. IND,account.data_account_type_current_liabilities,TRUE,l10n_it_chart_generic
0420005,0420005,F/AMM CONC.LIC. E ALTRI DIR.SIM.,account.data_account_type_current_liabilities,TRUE,l10n_it_chart_generic
0420010,0420010,F/AMM MARCHI DI FABBRICA E COMM.,account.data_account_type_current_liabilities,TRUE,l10n_it_chart_generic
0420015,0420015,F/AMM LIC. D'USO SOF. A TEMP.DET,account.data_account_type_current_liabilities,TRUE,l10n_it_chart_generic
0425005,0425005,F.DO AMM AVVIAMENTO,account.data_account_type_current_liabilities,TRUE,l10n_it_chart_generic
0435005,0435005,F/AMM LAV. STR. SU BENI DI TERZ,account.data_account_type_current_liabilities,TRUE,l10n_it_chart_generic
0435010,0435010,F/AMM.MANUT.STRAORD.-PROFESS.,account.data_account_type_current_liabilities,TRUE,l10n_it_chart_generic
0435015,0435015,F/AMM ALT. COS. AD UT. PLU. AMM,account.data_account_type_current_liabilities,TRUE,l10n_it_chart_generic
